Powtorzenia: 
Name IDD_EXPORT_FEDEXAPI                   	ID: 27346-4
Name IDD_CHARKLIENTADLATOW_IMPORT          	ID: 27348-4
Name IDD_IMPORT_KOLORNIK                   	ID: 27352-4
Name IDD_EXPORT_SHIPX_INPOST_EXPRESS       	ID: 27366-4
Name IDD_POZYCJE_ZLECENIA_IMPORT           	ID: 27367-4
Name IDC_S_KLIENT                          	ID: 1001-3
Name IDC_S_SERWER                          	ID: 1002-3
Name IDC_S_SERWER_R                        	ID: 1003-3
Name IDC_S_KLIENT_R                        	ID: 1004-3
Name IDC_OD_CZASU                          	ID: 1006-3
Name IDC_DO_CZASU                          	ID: 1007-3
Name IDC_LACZ                              	ID: 1024-3
Name IDC_DOIMPORT                          	ID: 1024-3
Name IDC_S_NIEPRZETWORZONE                 	ID: 1024-3
Name IDC_C_DOMYSLNA                        	ID: 1024-3
Name IDC_S_PRZETWORZONE                    	ID: 1025-3
Name IDC_SETZAKSIEGOWANE                   	ID: 1025-3
Name IDC_K_IDKLIENTA                       	ID: 1026-3
Name IDC_ENCODING                          	ID: 1026-3
Name IDC_KODKOD                            	ID: 1027-3
Name IDC_KODCECHA1                         	ID: 1028-3
Name IDC_S_INCOMING                        	ID: 1028-3
Name IDC_S_OUTGOING                        	ID: 1029-3
Name IDC_BYFILENAME                        	ID: 1030-3
Name IDC_INSERTTS4                         	ID: 1033-3
Name IDC_RK_ILN                            	ID: 1033-3
Name IDC_RK_KOD                            	ID: 1034-3
Name IDC_RK_NIP                            	ID: 1035-3
Name IDC_RK_REGON                          	ID: 1036-3
Name IDC_CI_SPRZED                         	ID: 1036-3
Name IDC_CREATETOWAR                       	ID: 1037-3
Name IDC_CI_ZAKUPU                         	ID: 1038-3
Name IDC_PRZETWORZ                         	ID: 1040-3
Name IDC_PRZETWORZ_OLD                     	ID: 1041-3
Name IDC_SKIPZAKSIEGOWANE                  	ID: 1051-3
Name IDC_SEPARATOR                         	ID: 1301-3
Name IDD_TOWARY_IMPORT                     	ID: 1441-3
Name IDC_C_ANULOWANIE_NIEZNALEZIONYCH      	ID: 2065-3
Name IDC_C_NIEUWZGLEDNIAJ_NOWYCH           	ID: 2066-3
Name IDC_NAZWA                             	ID: 3782-3
Name IDC_OK                                	ID: 19094-3
Name IDC_C_POMIN                           	ID: 27033-3
Name IDC_RT_KOD                            	ID: 27039-3
Name IDC_RT_EAN                            	ID: 27040-3
Name IDC_RT_KODDOST                        	ID: 27041-3
Name IDC_RT_N2                             	ID: 27042-3
Name IDC_RT_N4                             	ID: 27043-3
Name IDC_RT_N3                             	ID: 27044-3
Name IDC_RT_N1                             	ID: 27045-3
Name IDC_RT_N5                             	ID: 27046-3
Name IDC_DOEXPORT                          	ID: 27047-3
Name IDC_RT_N6                             	ID: 27047-3
Name IDC_FILETITLE                         	ID: 27053-3
Name IDC_SEP_INNY                          	ID: 27055-3
Name IDC_I_AURA                            	ID: 27055-3
Name IDC_R_ROZCHOD                         	ID: 27073-3
Name IDC_R_PRZYCHOD                        	ID: 27074-3
Name IDC_CH_BRAK_KARTOTEKI                 	ID: 27075-3
Name IDC_R_AKT                             	ID: 27088-3
Name IDC_R_RELACJA                         	ID: 27089-3
Name IDC_R_WERSJA                          	ID: 27090-3
Name IDC_R_AKTUALIZUJ                      	ID: 27108-3
Name IDC_R_POMIN                           	ID: 27109-3
Name IDC_PRZELICZNIK_POZYCJI               	ID: 27143-3
Name IDC_C_ZATWIERDZENIE                   	ID: 27239-3
Name IDC_C_DWUETAPOWY                      	ID: 27240-3
Name IDC_DBELKA                            	ID: 64999-3
Name IDC_SAVEASNEW                         	ID: 3-2
Name IDC_DODELETE                          	ID: 4-2
Name IDC_WG_SPRZEDAZ_R                     	ID: 1005-2
Name IDC_DHL_KUR_H_OD                      	ID: 1007-2
Name IDC_NAZWATABELI                       	ID: 1008-2
Name IDC_WG_WYSTAW_R                       	ID: 1008-2
Name IDC_DHL_KUR_H_DO                      	ID: 1008-2
Name IDC_E_FV                              	ID: 1009-2
Name IDC_DHL_KUR_DZIEN                     	ID: 1009-2
Name IDC_E_KFV                             	ID: 1010-2
Name IDC_RABEN_DOST_DZIEN                  	ID: 1010-2
Name IDC_E_PR                              	ID: 1011-2
Name IDC_E_KPR                             	ID: 1012-2
